star,xslid,simbad,filename,ra,dec,teff,e_teff,logg,e_logg,feh,e_feh,comment
ISO-MCMS J005644.8-731436,X0040,ISO-MCMS J005644.8-731436,xsl_spectrum_X0040_merged_ncl.fits,14.186625,-73.2429722,nan,nan,nan,nan,nan,nan,
SV* HV 11366,X0765,SV* HV 11366,xsl_spectrum_X0765_merged.fits,14.2282083,-72.2356667,3558.0,58.0,0.20999999344348907,0.1899999976158142,-0.3499999940395355,0.17000000178813934,"S-star signatures confirmed (ZrO, 940 nm; cf. Wood et al. 1983)"
ISO-MCMS J005700.7-730751,X0012,ISO-MCMS J005700.7-730751,xsl_spectrum_X0012_merged_ncl.fits,14.2529583,-73.1307222,nan,nan,nan,nan,nan,nan,
ISO-MCMS J005712.2-730704,X0013,ISO-MCMS J005712.2-730704,xsl_spectrum_X0013_merged_ncl.fits,14.300625,-73.1179722,nan,nan,nan,nan,nan,nan,
HD 5544,X0453,HD 5544,xsl_spectrum_X0453_merged.fits,14.3043333,0.3423333,4591.0,32.0,2.25,0.14000000059604645,-0.07999999821186066,0.05000000074505806,
ISO-MCMS J005714.4-730121,X0020,ISO-MCMS J005714.4-730121,xsl_spectrum_X0020_merged.fits,14.3102917,-73.0226389,2991.0,50.0,0.49000000953674316,0.20999999344348907,-0.4399999976158142,0.18000000715255737,
ISO-MCMS J005716.5-731052,X0017,ISO-MCMS J005716.5-731052,xsl_spectrum_X0017_merged_ncl.fits,14.31875,-73.1813333,nan,nan,nan,nan,nan,nan,
HV 12149,X0759,HV 12149,xsl_spectrum_X0759_merged_ncl.fits,14.7090417,-72.3098889,2921.0,58.0,0.6299999952316284,0.3499999940395355,0.47999998927116394,0.2199999988079071,
[M2002] SMC 46662,X0005,[M2002] SMC 46662,xsl_spectrum_X0005_merged.fits,14.895875,-72.0684444,3777.0,62.0,0.800000011920929,0.1899999976158142,-0.7099999785423279,0.17000000178813934,
HD 5857,X0526,HD 5857,xsl_spectrum_X0526_merged.fits,15.0655417,18.199,4631.0,31.0,2.7100000381469727,0.14000000059604645,-0.1899999976158142,0.05000000074505806,
